kalpi,sum,Abeba David,Abeba Lior,Akunis Ofir,Amsalem David,Azbera Goma,Barak Keren,Barkat Nir,Ben Pinhas Yoseg Eyal,Berko Anat,Bitan David,Boker Navah,Cohen Fernand,Davidi Eli,Dichter Avi,Dichter Avital,Edelstein Yuli,Elkin Zeev,Erdan Gilad,Fadida Nissim,Fleishman Zeev,Fridelman Hinda,Galant Yoav,Gamliel Gila,Glick Yehuda,Golan May,Halabi Rafe,Halevi Shosh,Hanegbi Tsahi,Haskel Sharen,Hazah Oren,Hetayev Faisal,Hieb Hassan,Hirshman Nir,Hotoveli Tzipi,Ilgiev Gregory,Kaidaba Samir,Kara Iub,Katz Haim,Katz Israel,Kish Yoav,Koren Nurit,Krinawi Atef,Levin Yariv,Lovovikov Michael,Maharat Gilad,Malka Elad,Mark Osnat,Mazuz Yaron,Moses Heidi,Mula Patin,Mustafa Gihad,Nager Yoel,Nahon Tzofia,Negosa Avraham,Nevuani Osama,Ohana Amir,Parhat Ata,Pasal Moshe,Pinto Jacky,Regev Miri,Saar Gidon,Salah Salah,Sefadi Mendi,Sela Noam,Shitrti Kathy,Shtagman Ayala,Shteinits Yuval,Taya Dima,Vidar Yaakov,Yogev Mot,Yona Elad,Zohar Mickey
100001,2445,5,4,88,57,2,27,139,0,46,57,33,0,10,89,10,110,65,106,1,3,1,102,88,28,17,1,1,52,68,47,1,9,8,71,1,13,56,71,116,86,38,0,100,11,1,13,4,1,3,11,0,4,18,2,7,87,4,31,2,108,117,1,2,9,33,7,73,8,1,4,2,54
100002,2426,6,4,78,54,1,35,142,1,45,57,34,1,10,95,10,90,60,104,1,0,0,91,84,31,16,1,2,46,63,47,1,8,8,53,0,8,52,76,126,98,35,2,109,13,1,7,11,17,0,11,1,10,3,16,3,100,6,26,3,120,120,3,1,6,32,5,67,7,1,5,5,41
100003,2325,9,2,78,57,0,31,129,0,38,50,25,0,8,83,10,105,74,87,0,4,0,98,87,34,22,0,1,35,65,45,2,7,14,59,0,8,47,72,120,78,33,4,109,11,1,4,8,9,2,12,2,7,3,18,1,85,3,31,1,100,119,3,1,6,38,1,74,5,2,3,2,43
100101,1236,2,0,42,61,2,16,50,0,10,51,8,5,2,61,6,62,41,60,0,5,1,51,29,13,9,0,0,25,16,17,0,1,8,42,0,0,15,55,53,18,8,2,44,1,0,17,4,11,1,3,1,3,4,9,0,27,0,14,1,70,57,1,0,2,27,2,59,1,1,2,1,26
100102,1186,4,3,19,46,0,14,49,0,11,41,5,1,6,59,11,63,35,54,0,3,2,46,23,16,10,2,0,23,16,22,0,0,13,37,0,0,17,54,61,29,10,1,33,2,3,9,4,9,0,3,0,3,2,12,0,32,0,17,1,63,65,6,0,3,23,0,57,2,1,4,0,26
100103,1236,4,2,25,59,1,18,46,3,9,48,6,2,4,52,10,66,31,60,2,11,1,42,36,12,13,1,1,35,17,17,0,1,17,33,4,3,11,53,57,24,10,0,44,4,5,9,2,17,1,8,0,3,2,16,1,18,1,14,2,55,66,4,0,2,19,0,52,5,2,3,2,32
100104,1211,5,3,20,54,4,13,41,1,7,55,4,2,5,62,10,71,36,49,0,5,1,43,32,17,8,2,0,30,17,20,0,0,10,29,1,1,11,59,55,23,8,0,43,3,1,8,2,5,2,5,0,2,1,11,0,31,2,19,0,63,67,5,0,3,25,1,59,0,2,4,2,31
100105,1225,2,1,39,60,1,15,54,0,11,46,10,2,10,55,5,59,36,53,2,7,0,60,43,13,13,0,0,29,10,18,1,0,11,47,0,0,17,33,56,26,11,2,42,2,1,13,7,8,1,5,0,2,1,11,0,40,0,9,3,60,53,7,0,1,14,1,46,4,2,7,0,27
100106,1247,5,4,28,57,2,18,46,0,11,52,5,0,3,64,8,62,31,58,0,6,1,36,28,18,6,0,0,33,8,27,0,1,8,38,1,1,16,66,59,25,8,0,33,2,1,11,5,13,2,3,1,2,0,11,0,25,1,22,3,69,70,1,1,3,36,2,55,4,2,2,0,27
100107,1236,3,3,29,45,5,14,54,0,11,47,6,1,3,53,11,71,28,58,2,7,1,45,29,19,12,2,1,30,14,17,2,1,8,30,1,1,15,64,52,26,10,0,42,7,2,9,4,11,1,6,2,2,0,12,1,28,1,18,4,57,73,5,1,4,23,0,59,1,0,3,3,26
100108,1188,2,3,26,50,2,16,53,0,7,39,6,1,3,55,5,66,32,56,0,6,1,50,20,20,11,0,0,26,18,18,0,3,11,39,2,1,12,53,61,25,8,0,38,7,0,16,3,9,0,6,0,2,1,12,0,30,3,14,3,59,58,4,2,4,16,0,61,4,3,4,2,20
100109,1261,3,0,23,52,3,18,52,1,16,47,7,6,8,54,9,66,41,60,2,8,0,44,26,14,13,0,0,23,20,19,1,3,8,47,0,2,12,61,57,23,12,1,44,2,0,11,6,11,2,4,1,1,2,12,2,24,1,23,2,58,66,4,1,1,33,3,51,1,1,6,2,24
100110,1152,1,1,26,53,0,13,45,1,7,40,6,3,12,54,3,52,30,49,0,2,2,46,29,18,20,2,0,25,9,22,1,0,18,34,0,0,8,44,69,17,13,3,41,2,1,5,1,13,3,5,0,1,0,8,0,34,0,19,0,67,51,12,0,0,25,0,52,0,0,10,2,22
100111,1104,1,2,25,41,1,16,50,1,16,42,7,2,3,52,9,57,29,50,0,3,1,37,32,10,12,0,1,31,13,16,0,1,14,46,1,0,17,46,63,23,9,1,32,4,0,2,2,5,2,3,1,1,0,7,0,23,1,12,0,57,63,3,0,3,20,2,51,2,1,3,1,22
